observation_date,STLFSI4
2019-12-20,-0.3900
2019-12-27,-0.2039
2020-01-03,-0.2496
2020-01-10,-0.3752
2020-01-17,-0.5402
2020-01-24,-0.4269
2020-01-31,-0.1393
2020-02-07,-0.4856
2020-02-14,-0.5899
2020-02-21,-0.4636
2020-02-28,0.6413
2020-03-06,1.3110
2020-03-13,3.4236
2020-03-20,5.5155
2020-03-27,5.2746
2020-04-03,3.1228
2020-04-10,2.5634
2020-04-17,1.8522
2020-04-24,2.3597
2020-05-01,1.2050
2020-05-08,0.9060
2020-05-15,0.8792
2020-05-22,0.4033
2020-05-29,0.1794
2020-06-05,-0.1140
2020-06-12,0.2495
2020-06-19,0.4496
2020-06-26,0.4759
2020-07-03,0.3882
2020-07-10,0.0947
2020-07-17,0.0485
2020-07-24,-0.2370
2020-07-31,-0.0914
2020-08-07,-0.2187
2020-08-14,-0.2894
2020-08-21,-0.0882
2020-08-28,-0.2865
2020-09-04,-0.1344
2020-09-11,0.0310
2020-09-18,-0.1482
2020-09-25,0.2283
2020-10-02,-0.0935
2020-10-09,-0.2568
2020-10-16,-0.1035
2020-10-23,-0.0138
2020-10-30,0.3629
2020-11-06,-0.0901
2020-11-13,-0.4935
2020-11-20,-0.1722
2020-11-27,-0.4096
2020-12-04,-0.4595
2020-12-11,-0.4333
2020-12-18,-0.3910
2020-12-25,-0.4299
2021-01-01,-0.4863
2021-01-08,-0.5031
2021-01-15,-0.5450
2021-01-22,-0.5243
2021-01-29,-0.2805
2021-02-05,-0.5922
2021-02-12,-0.7733
2021-02-19,-0.6731
2021-02-26,-0.4694
2021-03-05,-0.4261
2021-03-12,-0.5196
2021-03-19,-0.5640
2021-03-26,-0.6370
2021-04-02,-0.7323
2021-04-09,-0.8233
2021-04-16,-0.7771
2021-04-23,-0.7295
2021-04-30,-0.8193
2021-05-07,-0.8149
2021-05-14,-0.7638
2021-05-21,-0.7260
2021-05-28,-0.8189
2021-06-04,-0.8595
2021-06-11,-0.7998
2021-06-18,-0.7862
2021-06-25,-0.8160
2021-07-02,-0.8523
2021-07-09,-0.7198
2021-07-16,-0.8128
2021-07-23,-0.5790
2021-07-30,-0.7768
2021-08-06,-0.6868
2021-08-13,-0.8792
2021-08-20,-0.6282
2021-08-27,-0.7800
2021-09-03,-0.7699
2021-09-10,-0.7256
2021-09-17,-0.6878
2021-09-24,-0.5620
2021-10-01,-0.6541
2021-10-08,-0.6543
2021-10-15,-0.7429
2021-10-22,-0.9177
2021-10-29,-0.8185
2021-11-05,-0.6919
2021-11-12,-0.7975
2021-11-19,-0.7072
2021-11-26,-0.5067
2021-12-03,-0.1815
2021-12-10,-0.7237
2021-12-17,-0.5155
2021-12-24,-0.6012
2021-12-31,-0.7854
2022-01-07,-0.7276
2022-01-14,-0.6826
2022-01-21,-0.4114
2022-01-28,-0.2262
2022-02-04,-0.5374
2022-02-11,-0.6188
2022-02-18,-0.1950
2022-02-25,-0.0369
2022-03-04,0.2672
2022-03-11,0.1070
2022-03-18,-0.3452
2022-03-25,-0.6420
2022-04-01,-0.4965
2022-04-08,-0.4067
2022-04-15,-0.3171
2022-04-22,-0.4217
2022-04-29,0.1484
2022-05-06,0.1621
2022-05-13,0.5207
2022-05-20,0.2694
2022-05-27,0.2587
2022-06-03,-0.1967
2022-06-10,-0.0914
2022-06-17,-0.0420
2022-06-24,0.3449
2022-07-01,0.5714
2022-07-08,0.3877
2022-07-15,0.0302
2022-07-22,-0.2946
2022-07-29,-0.2025
2022-08-05,-0.5032
2022-08-12,-0.4307
2022-08-19,-0.3923
2022-08-26,-0.2407
2022-09-02,-0.1693
2022-09-09,-0.3430
2022-09-16,-0.4728
2022-09-23,0.0849
2022-09-30,0.4610
2022-10-07,0.1333
2022-10-14,0.2374
2022-10-21,-0.1848
2022-10-28,-0.3091
2022-11-04,-0.4123
2022-11-11,-0.3407
2022-11-18,-0.2205
2022-11-25,-0.2411
2022-12-02,-0.1264
2022-12-09,0.1107
2022-12-16,-0.0111
2022-12-23,-0.0084
2022-12-30,-0.0738
2023-01-06,-0.1732
2023-01-13,-0.4180
2023-01-20,-0.3933
2023-01-27,-0.5232
2023-02-03,-0.5609
2023-02-10,-0.6400
2023-02-17,-0.4936
2023-02-24,-0.2560
2023-03-03,-0.4659
2023-03-10,-0.0999
2023-03-17,1.1030
2023-03-24,0.2491
2023-03-31,-0.2954
2023-04-07,-0.0966
2023-04-14,-0.5019
2023-04-21,-0.6769
2023-04-28,-0.2945
2023-05-05,-0.3420
2023-05-12,-0.5227
2023-05-19,-0.4661
2023-05-26,-0.3440
2023-06-02,-0.4741
2023-06-09,-0.7041
2023-06-16,-0.6191
2023-06-23,-0.5943
2023-06-30,-0.7026
2023-07-07,-0.7634
2023-07-14,-0.6902
2023-07-21,-0.7362
2023-07-28,-0.7706
2023-08-04,-0.7332
2023-08-11,-0.6655
2023-08-18,-0.6404
2023-08-25,-0.6876
2023-09-01,-0.6878
2023-09-08,-0.7282
2023-09-15,-0.7180
2023-09-22,-0.7298
2023-09-29,-0.5202
2023-10-06,-0.4503
2023-10-13,-0.5388
2023-10-20,-0.3494
2023-10-27,-0.3563
2023-11-03,-0.6048
2023-11-10,-0.7248
2023-11-17,-0.6195
2023-11-24,-0.7302
2023-12-01,-0.5274
2023-12-08,-0.4928
2023-12-15,-0.6008
2023-12-22,-0.4235
2023-12-29,-0.4134
2024-01-05,-0.5712
2024-01-12,-0.7113
2024-01-19,-0.8123
2024-01-26,-0.8345
2024-02-02,-0.7495
2024-02-09,-0.6103
2024-02-16,-0.6545
2024-02-23,-0.6766
2024-03-01,-0.7902
2024-03-08,-0.7844
2024-03-15,-0.9301
2024-03-22,-0.9455
2024-03-29,-0.9286
2024-04-05,-0.8572
2024-04-12,-0.8081
2024-04-19,-0.4345
2024-04-26,-0.8439
2024-05-03,-0.8315
2024-05-10,-0.9147
2024-05-17,-0.9075
2024-05-24,-0.9649
2024-05-31,-0.8615
2024-06-07,-0.8297
2024-06-14,-0.8687
2024-06-21,-0.8239
2024-06-28,-0.8381
2024-07-05,-0.8361
2024-07-12,-0.8199
2024-07-19,-0.6565
2024-07-26,-0.6271
2024-08-02,-0.3274
2024-08-09,-0.1612
2024-08-16,-0.7343
2024-08-23,-0.6416
2024-08-30,-0.6488
2024-09-06,-0.3899
2024-09-13,-0.3114
2024-09-20,-0.4400
2024-09-27,-0.2745
2024-10-04,-0.6199
2024-10-11,-0.6110
2024-10-18,-0.5359
2024-10-25,-0.4016
2024-11-01,-0.3059
2024-11-08,-0.5696
2024-11-15,-0.8083
2024-11-22,-0.6152
2024-11-29,-0.6082
2024-12-06,-0.5281
2024-12-13,-0.5917
2024-12-20,-0.5224
