observation_date,DGS5,change_in_yields_in_bps,Volatility
2019-12-26,1.72,0,
2019-12-27,1.68,-4.00,
2019-12-30,1.68,0.00,
2019-12-31,1.69,1.00,
2020-01-01,1.68,-1.00,
2020-01-02,1.67,-1.00,
2020-01-03,1.59,-8.00,
2020-01-06,1.61,2.00,
2020-01-07,1.62,1.00,
2020-01-08,1.67,5.00,
2020-01-09,1.65,-2.00,
2020-01-10,1.63,-2.00,
2020-01-13,1.65,2.00,
2020-01-14,1.63,-2.00,
2020-01-15,1.60,-3.00,
2020-01-16,1.63,3.00,
2020-01-17,1.63,0.00,
2020-01-20,1.60,-3.00,
2020-01-21,1.57,-3.00,
2020-01-22,1.57,0.00,
2020-01-23,1.55,-2.00,2.786019519297157
2020-01-24,1.51,-4.00,2.8635642126552705
2020-01-27,1.44,-7.00,3.086838419576157
2020-01-28,1.47,3.00,3.2093613071762426
2020-01-29,1.41,-6.00,3.351616525399846
2020-01-30,1.39,-2.00,3.353747016043257
2020-01-31,1.32,-7.00,3.568379650952703
2020-02-03,1.35,3.00,3.3953750055879586
2020-02-04,1.42,7.00,3.780274618394303
2020-02-05,1.46,4.00,3.9103038488685495
2020-02-06,1.45,-1.00,3.6807090414238193
2020-02-07,1.41,-4.00,3.732100136460895
2020-02-10,1.38,-3.00,3.7499206340807754
2020-02-11,1.40,2.00,3.7499206340807754
2020-02-12,1.45,5.00,3.9785137210485315
2020-02-13,1.43,-2.00,3.9575124462097104
2020-02-14,1.42,-1.00,3.8600518131237567
2020-02-17,1.40,-2.00,3.858817978406884
2020-02-18,1.39,-1.00,3.834057902536163
2020-02-19,1.41,2.00,3.858817978406884
2020-02-20,1.37,-4.00,3.9176037379524553
2020-02-21,1.30,-7.00,4.130605858939432
2020-02-24,1.21,-9.00,4.433637655147617
2020-02-25,1.16,-5.00,4.328202090167848
2020-02-26,1.14,-2.00,4.213922502507949
2020-02-27,1.11,-3.00,4.105745103771404
2020-02-28,0.89,-22.00,6.0866755332955815
2020-03-02,0.88,-1.00,5.999206296709273
2020-03-03,0.77,-11.00,6.179844350020168
2020-03-04,0.75,-2.00,5.767313478726881
2020-03-05,0.67,-8.00,5.61163756763355
2020-03-06,0.58,-9.00,5.685821965958081
2020-03-09,0.46,-12.00,5.93817352069681
2020-03-10,0.63,17.00,7.573449864965295
2020-03-11,0.66,3.00,7.6132716201318305
2020-03-12,0.66,0.00,7.408810713635231
2020-03-13,0.70,4.00,7.5935436234938924
2020-03-16,0.49,-21.00,8.470958792081499
2020-03-17,0.66,17.00,9.672740292280402
2020-03-18,0.79,13.00,10.316422414217605
2020-03-19,0.66,-13.00,10.481275822014362
2020-03-20,0.52,-14.00,10.726025314515113
2020-03-23,0.38,-14.00,10.929209442938635
2020-03-24,0.52,14.00,11.57645393522065
2020-03-25,0.56,4.00,11.675982675071568
2020-03-26,0.51,-5.00,11.68332144554792
2020-03-27,0.41,-10.00,11.782755761422422
2020-03-30,0.39,-2.00,10.979417973992017
2020-03-31,0.37,-2.00,10.97529693708297
2020-04-01,0.37,0.00,10.80696424489672
2020-04-02,0.39,2.00,10.84040062517459
2020-04-03,0.39,0.00,10.748643325244972
2020-04-06,0.44,5.00,10.6833203328054
2020-04-07,0.48,4.00,10.401465098267462
2020-04-08,0.47,-1.00,9.653521439893119
2020-04-09,0.41,-6.00,9.677908077777175
2020-04-10,0.42,1.00,9.686514926874958
2020-04-13,0.44,2.00,9.643156961829261
2020-04-14,0.42,-2.00,8.522519189379
2020-04-15,0.34,-8.00,7.685174348178752
2020-04-16,0.35,1.00,6.963510335346401
2020-04-17,0.36,1.00,6.523583590109259
2020-04-20,0.35,-1.00,5.8533669594434885
2020-04-21,0.34,-1.00,5.016164347577211
2020-04-22,0.37,3.00,3.913347124174606
2020-04-23,0.37,0.00,3.7670248460125846
2020-04-24,0.36,-1.00,3.648874581879413
2020-04-27,0.41,5.00,3.178049716414132
2020-04-28,0.37,-4.00,3.2696293659184272
2020-04-29,0.36,-1.00,3.2477098157962008
2020-04-30,0.36,0.00,3.2477098157962008
2020-05-01,0.36,0.00,3.21380948853092
2020-05-04,0.36,0.00,3.21380948853092
2020-05-05,0.36,0.00,2.9912571015576366
2020-05-06,0.37,1.00,2.8393493553813887
2020-05-07,0.29,-8.00,3.275449805533795
2020-05-08,0.33,4.00,3.2167715255546194
2020-05-11,0.36,3.00,3.2885081289675506
2020-05-12,0.34,-2.00,3.26525722752507
2020-05-13,0.31,-3.00,3.295740396618749
2020-05-14,0.31,0.00,2.8157719063467077
2020-05-15,0.31,0.00,2.803908836232859
2020-05-18,0.38,7.00,3.2078772093825743
2020-05-19,0.35,-3.00,3.2710854467592165
2020-05-20,0.34,-1.00,3.2710854467592165
2020-05-21,0.35,1.00,3.2078772093825747
2020-05-22,0.34,-1.00,3.2138094885309196
2020-05-25,0.34,0.00,3.2078772093825747
2020-05-26,0.35,1.00,3.0023800083076857
2020-05-27,0.34,-1.00,2.8859264419890143
2020-05-28,0.34,0.00,2.8793187024843454
2020-05-29,0.30,-4.00,3.0023800083076857
2020-06-01,0.31,1.00,3.015041656507607
2020-06-02,0.32,1.00,3.026863849251351
2020-06-03,0.38,6.00,3.315188711140911
2020-06-04,0.40,2.00,3.3359513528484452
2020-06-05,0.47,7.00,3.102993945945008
2020-06-08,0.45,-2.00,3.075246796135686
2020-06-09,0.40,-5.00,3.2499084236182267
2020-06-10,0.33,-7.00,3.5843575501920832
2020-06-11,0.32,-1.00,3.52811834376612
2020-06-12,0.33,1.00,3.53418677922887
2020-06-15,0.33,0.00,3.53418677922887
2020-06-16,0.34,1.00,3.1720505610574223
2020-06-17,0.34,0.00,3.106061661915132
2020-06-18,0.34,0.00,3.0983866769659243
2020-06-19,0.33,-1.00,3.096849397448338
2020-06-22,0.34,1.00,3.0983866769659243
2020-06-23,0.33,-1.00,3.106061661915132
2020-06-24,0.33,0.00,3.096849397448338
2020-06-25,0.32,-1.00,3.096849397448338
2020-06-26,0.30,-2.00,3.12440470520461
2020-06-29,0.28,-2.00,3.0315798175994204
2020-06-30,0.29,1.00,3.0315798175994204
2020-07-01,0.31,2.00,3.057387618150337
2020-07-02,0.29,-2.00,2.749025801469095
2020-07-03,0.30,1.00,2.713283022816585
2020-07-06,0.31,1.00,2.142539659020606
2020-07-07,0.29,-2.00,2.142539659020606
2020-07-08,0.30,1.00,1.9395630337539187
2020-07-09,0.28,-2.00,1.3001831372834112
2020-07-10,0.30,2.00,1.3749458863810362
2020-07-13,0.30,0.00,1.3522468075656056
2020-07-14,0.28,-2.00,1.4108423691100767
2020-07-15,0.28,0.00,1.383577144320351
2020-07-16,0.28,0.00,1.383577144320351
2020-07-17,0.29,1.00,1.4108423691100767
2020-07-20,0.29,0.00,1.4006801069140324
2020-07-21,0.27,-2.00,1.4259499757471428
2020-07-22,0.27,0.00,1.4192553379450992
2020-07-23,0.27,0.00,1.4192553379450992
2020-07-24,0.27,0.00,1.4108423691100769
2020-07-27,0.30,3.00,1.5165750888102913
2020-07-28,0.26,-4.00,1.700140050253547
2020-07-29,0.25,-1.00,1.691716513457472
2020-07-30,0.23,-2.00,1.6575943555704427
2020-07-31,0.21,-2.00,1.6575943555704427
2020-08-03,0.22,1.00,1.6575943555704427
2020-08-04,0.19,-3.00,1.7196345126633161
2020-08-05,0.22,3.00,1.8529256146249573
2020-08-06,0.21,-1.00,1.832250762625793
2020-08-07,0.23,2.00,1.8682816143387304
2020-08-10,0.24,1.00,1.8205179796655833
2020-08-11,0.27,3.00,1.9566735620872917
2020-08-12,0.30,3.00,2.0224925687072703
2020-08-13,0.32,2.00,2.0644381225662114
2020-08-14,0.29,-3.00,2.1789031753657593
2020-08-17,0.29,0.00,2.1679483388678666
2020-08-18,0.27,-2.00,2.2114421065169516
2020-08-19,0.29,2.00,2.2114421065169516
2020-08-20,0.26,-3.00,2.3124919562279542
2020-08-21,0.27,1.00,2.323790007724438
2020-08-24,0.28,1.00,2.3340135063060345
2020-08-25,0.30,2.00,2.2803508501982632
2020-08-26,0.28,-2.00,2.1425396590206054
2020-08-27,0.31,3.00,2.2168188275737952
2020-08-28,0.28,-3.00,2.2782616597915464
2020-08-31,0.28,0.00,2.221110833194344
2020-09-01,0.26,-2.00,2.271982561971967
2020-09-02,0.26,0.00,2.152517905461712
2020-09-03,0.24,-2.00,2.119074371152681
2020-09-04,0.30,6.00,2.4611263391266194
2020-09-07,0.29,-1.00,2.452404068314529
2020-09-08,0.28,-1.00,2.4620935729384255
2020-09-09,0.28,0.00,2.376471974928168
2020-09-10,0.26,-2.00,2.3155787099351
2020-09-11,0.26,0.00,2.2614786566062604
2020-09-14,0.27,1.00,2.1887156486113337
2020-09-15,0.27,0.00,2.1887156486113337
