observation_date,DGS5,change_in_yields_in_bps,Volatility,Policy_Scheme,Crisis_Scheme,Yield_Curve_Shape,Business_Cycles,Rolling_Volatility_Z_Score
2019-12-26,1.72,0,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2019-12-27,1.68,-4.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2019-12-30,1.68,0.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2019-12-31,1.69,1.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-01,1.68,-1.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-02,1.67,-1.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-03,1.59,-8.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-06,1.61,2.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-07,1.62,1.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-08,1.67,5.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-09,1.65,-2.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-10,1.63,-2.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-13,1.65,2.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-14,1.63,-2.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-15,1.60,-3.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-16,1.63,3.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-17,1.63,0.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-20,1.60,-3.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-21,1.57,-3.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-22,1.57,0.00,,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-23,1.55,-2.00,2.786019519297157,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-24,1.51,-4.00,2.8635642126552705,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-27,1.44,-7.00,3.086838419576157,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-28,1.47,3.00,3.2093613071762426,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-29,1.41,-6.00,3.351616525399846,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-30,1.39,-2.00,3.353747016043257,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-01-31,1.32,-7.00,3.568379650952703,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-03,1.35,3.00,3.3953750055879586,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-04,1.42,7.00,3.780274618394303,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-05,1.46,4.00,3.9103038488685495,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-06,1.45,-1.00,3.6807090414238193,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-07,1.41,-4.00,3.732100136460895,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-10,1.38,-3.00,3.7499206340807754,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-11,1.40,2.00,3.7499206340807754,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-12,1.45,5.00,3.9785137210485315,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
2020-02-13,1.43,-2.00,3.9575124462097104,PRE_COVID_QE,Unknown,Pre-COVID_Normal,Expansion,
